#	Downloaded	from	https://eo1.usgs.gov/documents/hyp	irradiance.txt	and	cleaned	up	2017-02-01:	HYPERION	Spectral	Irradiances	
Hyperion band	Central wavelength (nm)	Spectral irradiance (W/m^2-mu)
b1	355.590	949.37
b2	365.760	1158.78
b3	375.940	1061.25
b4	386.110	955.12
b5	396.290	970.87
b6	406.460	1663.73
b7	416.640	1722.92
b8	426.820	1650.52
b9	436.990	1714.90
b10	447.17	1994.52
b11	457.34	2034.72
b12	467.52	1970.12
b13	477.69	2036.22
b14	487.87	1860.24
b15	498.04	1953.29
b16	508.22	1953.55
b17	518.39	1804.56
b18	528.57	1905.51
b19	538.74	1877.50
b20	548.92	1883.51
b21	559.09	1821.99
b22	569.27	1841.92
b23	579.45	1847.51
b24	589.62	1779.99
b25	599.80	1761.45
b26	609.97	1740.80
b27	620.15	1708.88
b28	630.32	1672.09
b29	640.50	1632.83
b30	650.67	1591.92
b31	660.85	1557.66
b32	671.02	1525.41
b33	681.20	1470.93
b34	691.37	1450.37
b35	701.55	1393.18
b36	711.72	1372.75
b37	721.90	1235.63
b38	732.07	1266.13
b39	742.25	1279.02
b40	752.43	1265.22
b41	762.60	1235.37
b42	772.78	1202.29
b43	782.95	1194.08
b44	793.13	1143.60
b45	803.30	1128.16
b46	813.48	1108.48
b47	823.65	1068.50
b48	833.83	1039.70
b49	844.00	1023.84
b71	851.92	964.60
b50	854.18	938.96
b72	862.01	982.06
b51	864.35	949.97
b73	872.10	954.03
b52	874.53	949.74
b74	882.19	931.81
b53	884.70	929.54
b75	892.28	923.35
b54	894.88	917.32
b76	902.36	894.62
b55	905.05	892.69
b77	912.45	876.10
b56	915.23	877.59
b78	922.54	839.34
b57	925.41	834.60
b79	932.64	841.54
b58	935.58	837.11
b80	942.73	810.20
b59	945.76	814.70
b81	952.82	802.22
b60	955.93	788.04
b82	962.91	784.44
b61	966.11	778.20
b83	972.99	772.22
b62	976.28	764.29
b84	983.08	758.60
b63	986.46	751.28
b85	993.17	743.88
b64	996.63	740.25
b86	1003.3	721.76
b65	1006.8	710.54
b87	1013.3	714.26
b66	1016.9	703.56
